BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2017;640780557;640000238;7;2555;221;2;2354;;;0;0;0;;;0;0;0;7;2555;221;2;2354;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;1;0;0;;;;;;;975;;;
MCO;2017;640780623;640000287;15;5180;337;2;4167;;;0;0;0;;;0;0;0;15;5180;337;2;4167;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2017;640780672;640000337;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;2;552;;;0;;0;;0;;;2;552;;;0;;;;;;;;;;;;;;;;;;;
MCO;2017;640780748;640000360;22;8030;4732;2218;9734;54;19710;2493;5;9416;;;0;0;0;76;27740;7225;2223;19150;1;15;0;;1880;30;7036;;0;;;31;7051;0;;1880;;;;;;;;;;;;;;;;;;;
MCO;2017;640780938;640000451;45;16425;1975;303;17089;95;34675;5060;51;17114;;;0;0;0;140;51100;7035;354;34203;;0;;;7026;30;7194;;0;;;30;7194;;;7026;;;;;;;;;;;;;;;;;;;
MCO;2017;640780946;640000469;16;5840;1059;46;4939;110;36324;5002;108;17507;52;18980;2277;69;8906;178;61144;8338;223;31352;5;110;;;241;32;9171;3;104;;;40;9385;;;241;;;;;;;;;;;;;;;;;;;
MCO;2017;640780987;640000493;0;2190;3;1;9;18;6570;889;150;3472;;;0;0;0;18;8760;892;151;3481;;0;;;0;14;1629;;0;;;14;1629;;;0;;;;;;;;;;;;;;;;;;;
MCO;2017;640781225;640000568;147;53655;4109;187;23926;;;0;0;0;;;0;0;0;147;53655;4109;187;23926;2;504;;;27;;0;;0;;;2;504;;;27;;;;;;;;;;;;;;;;;;;
MCO;2017;640781308;640000618;28;10220;1333;0;6558;;;0;0;0;;;0;0;0;28;10220;1333;0;6558;2;1658;;;15;;0;;0;;;2;1658;;;15;;;;;;;;;;;;;;;;;;;
MCO;2017;640787156;640001699;14;5110;272;22;2525;;;0;0;0;;;0;0;0;14;5110;272;22;2525;;0;;;37;1;496;;0;;;1;496;;;37;1;1;0;1;1;0;1;0;0;;;;;;;;;;
MCO;2017;650000045;650780158;78;28470;4439;705;22439;20;7300;824;2;4549;0;;0;0;0;98;35770;5263;707;26988;7;219;;;747;6;1470;0;0;;;13;1689;;;747;1;1;1;1;1;0;1;0;1;142;128;;20;41047;1621;4492;85;514;18723
MCO;2017;650000052;650780166;25;9125;866;45;7409;;;0;0;0;;;0;0;0;25;9125;866;45;7409;2;80;;;12;;0;;0;;;2;80;;;12;1;0;1;0;1;0;0;1;0;;;;;7293;;3420;225;;1994
MCO;2017;650000417;650783160;233;85045;13525;2373;60842;57;20805;3740;1;17937;26;9490;1525;4;6196;316;115340;18790;2378;84975;6;2352;;;14772;8;4183;2;451;;;16;6986;;;14772;1;0;1;1;1;1;1;1;1;120;80;35;120;68436;1159;73076;957;3366;13956
MCO;2017;650002579;650000243;0;0;186;0;1616;110;40150;4539;170;15243;;;0;0;0;110;40150;4725;170;16859;;0;;;35;29;7655;;0;;;29;7655;;;35;;;;;;;;;;;;;;;;;;;
MCO;2017;650780182;650783160;7;2555;227;13;2246;;;0;0;0;;;0;0;0;7;2555;227;13;2246;;0;;;1;;0;;0;;;;0;;;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;650780679;650000243;85;31025;4092;356;25244;7;2555;49;6;202;21;7665;1757;89;6674;113;41245;5898;451;32120;;0;;;5948;8;2408;0;0;;;8;2408;;;5948;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;650784218;650780174;39;14235;2490;653;11488;15;5160;1315;2;4580;;;0;0;0;54;19395;3805;655;16068;5;692;0;0;175;6;1932;;0;;;11;2624;0;0;175;1;0;1;1;1;1;1;0;1;;8;15;50;19906;758;16463;445;1766;3211
MCO;2017;660000084;660780180;452;164980;24475;2071;147180;120;43800;6491;915;33134;57;20805;3704;194;17264;629;229585;34670;3180;197578;54;3723;;;32274;16;3071;2;1804;;;72;8598;;;32274;1;1;1;1;1;1;1;1;1;;120;;;133580;6597;116788;715;4745;65396
MCO;2017;660000167;660780271;20;7300;379;1;6211;;;0;0;0;;;0;0;0;20;7300;379;1;6211;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;660006305;660006297;17;6205;2109;104;8073;97;35405;4874;528;14327;;;0;0;0;114;41610;6983;632;22400;;0;;;651;40;12614;;0;;;40;12614;;;651;;;;;;;;;;;;;;;;;;;
MCO;2017;660009689;660010059;15;5475;234;3;3169;;;0;0;0;;;0;0;0;15;5475;234;3;3169;;0;;;15;;0;;0;;;;0;;;15;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2017;660780628;660000282;29;10480;1855;318;9756;21;6965;550;7;2905;;;0;0;0;50;17445;2405;325;12661;;0;;;0;12;2416;;0;;;12;2416;;;0;;;;;;;;;;;;;;;;;;;
MCO;2017;660780669;660000324;0;0;28;7;38;23;8395;1064;5;2820;50;18250;2228;100;8632;73;26645;3320;112;11490;10;2050;;;2;;0;1;283;;;11;2333;;;2;;;;;;;;;;;;;;;;;;;
MCO;2017;660780776;660000399;18;6570;1297;250;4064;18;6570;768;19;3678;;;0;0;0;36;13140;2065;269;7742;;0;;;43;14;1961;;0;;;14;1961;;;43;;;;;;;;;;;;;;;;;;;
MCO;2017;660780784;660000407;48;17520;6772;478;30739;140;51100;5792;89;26735;34;9914;890;28;3681;222;78534;13454;595;61155;15;24;;;15717;18;8485;;0;;;33;8509;;;15717;;;;;;;;;;;;;;;;;;;
MCO;2017;660790387;660790379;84;30660;4059;507;20166;127;46355;7656;13;35385;0;0;0;0;0;211;77015;11715;520;55551;2;2137;;;110;41;13483;0;0;;;43;15620;;;110;;;;;;;;;;;;;;;;;;;
MCO;2017;670000025;670780055;519;189435;30719;2979;191690;273;99645;12345;119;62471;;;0;0;0;792;289080;43064;3098;254161;74;12172;;;43688;15;5103;;0;;;89;17275;;;43688;1;1;1;1;0;0;1;1;1;;;;;210275;5;162848;12228;4;52667
MCO;2017;670000033;670780063;60;19508;2704;119;14256;12;4380;636;4;1523;;;0;0;0;72;23888;3340;123;15779;38;1233;;;52367;7;686;;0;;;45;1919;;;52367;0;0;1;0;0;0;0;0;0;;;;;29547;;40077;;;3548
MCO;2017;670000157;670780337;287;102413;15185;1547;87463;71;25065;3457;95;15880;63;21245;3157;482;11162;421;148723;21799;2124;114505;7;621;;;10728;23;4570;;1;;;30;5192;;;10728;1;0;1;1;1;1;0;0;1;70;74;83;36;46537;2247;51526;1;10582;7556
MCO;2017;670000165;670780345;120;47332;5962;418;40857;36;13140;1604;33;8864;26;9480;1473;168;4827;182;69952;9039;619;54548;20;3002;;;1935;4;1649;1;495;;;25;5146;;;1935;1;1;1;1;0;1;1;0;0;;;;;27643;;20512;;3260;4288
MCO;2017;670000215;680000643;36;13140;1177;16;10426;;;0;0;0;;;0;0;0;36;13140;1177;16;10426;;0;;;41;;0;;0;;;;0;;;41;0;0;0;0;0;0;0;0;0;;;;;537;;;;;
MCO;2017;670000272;670780543;59;21535;2480;105;17929;14;5110;930;31;3904;16;5840;560;104;1634;89;32485;3970;240;23467;8;678;;;66;4;678;1;169;;;13;1525;;;66;1;0;0;1;0;1;0;0;1;;;;;17599;253;27084;;2276;
MCO;2017;670000306;670780584;46;16790;867;7;13924;;;0;0;0;;;0;0;0;46;16790;867;7;13924;8;1175;;;23;;0;;0;;;8;1175;;;23;0;0;0;0;0;0;0;0;1;;;;;202;;52;;;
MCO;2017;670000397;670017755;135;49207;7176;715;45498;43;14187;1537;29;7750;28;10220;1702;382;4779;206;73614;10415;1126;58027;5;51;;;1621;9;3765;0;0;;;14;3816;;;1621;1;0;0;1;0;1;0;0;1;;;10;120;26558;210;25291;0;3789;632
MCO;2017;670000405;670017755;39;14235;940;11;13763;;;0;0;0;;;0;0;0;39;14235;940;11;13763;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;3840;104;5140;;851;
