BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2014;800002610;800000044;0;2740;211;0;2031;;;0;0;0;0;18084;3237;273;14886;0;20824;3448;273;16917;0;0;;;874;0;0;0;1776;;;0;1776;;;874;0;0;0;0;0;0;0;0;0;;;;;23245;6623;0
MCO;2014;800006124;800000044;449;163885;17205;953;134473;374;136510;7218;360;37024;66;23906;1303;189;5526;889;324301;25726;1502;177023;83;3866;;;49087;38;1976;1;452;;;122;6294;;;49087;1;0;0;1;1;1;1;0;1;;65;37;7;119904;38635;91
MCO;2014;800009466;800002982;20;7300;598;9;4933;167;60955;5771;0;21884;;;0;0;0;187;68255;6369;9;26817;;0;;;696;17;7970;;0;;;17;7970;;;696;;;;;;;;;;;;;;;;
MCO;2014;800009920;800003071;42;15330;2215;9;12711;102;37230;5604;0;20141;84;30660;4558;0;20758;228;83220;12377;9;53610;1;4;;;175;57;9494;5;978;;;63;10476;;;175;;;;;;;;;;;;;;;;
MCO;2014;800013179;800013138;38;13870;3276;633;10537;;;0;0;0;;;0;0;0;38;13870;3276;633;10537;4;3086;;;9476;0;0;;0;;;4;3086;;;9476;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2014;800015729;800015679;56;20440;4972;601;13868;;;0;0;0;;;0;0;0;56;20440;4972;601;13868;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2014;800017253;800000044;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;10;314;;0;;;10;314;;;0;0;0;0;0;0;0;0;0;0;;;;0;;;
MCO;2014;800018491;800018483;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;27;3066;;0;;;27;3066;;;0;;;;;;;;;;;;;;;;
MCO;2014;810000224;810000471;141;51465;8984;548;45985;47;17155;2557;0;9518;18;6570;1373;357;4227;206;75190;12914;905;59730;9;3841;2;225;28800;10;2528;1;103;0;;20;6472;2;225;28800;;;;;;;;;;;;;;;;
MCO;2014;810000448;810099945;21;7445;471;6;5825;;;0;0;0;;;0;0;0;21;7445;471;6;5825;;0;;;1;;0;;0;;;;0;;;1;0;0;1;0;0;0;0;0;0;60;;;;4724;2677;
MCO;2014;810000505;810000331;157;51419;7912;519;41609;56;20440;2627;148;14340;24;8760;1603;58;6688;237;80619;12142;725;62637;14;1107;;;2125;6;1519;;0;;;20;2626;;;2125;1;0;1;1;1;1;1;0;0;;;;;71400;20147;193
