BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PDEN;PACT
MCO;2015;910300060;750043994;20;7300;388;1;5123;;;0;0;0;;;0;0;0;20;7300;388;1;5123;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;
MCO;2015;910300144;910000447;40;14135;2345;912;10850;91;32161;3706;11;15630;20;7300;869;30;3792;151;53596;6920;953;30272;;0;;;24787;25;8499;;0;;;25;8499;;;24787;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;910300177;910000462;10;3650;284;12;974;80;29200;5303;348;17006;28;10220;1588;35;6368;118;43070;7175;395;24348;;0;;;7;25;9643;1;132;;;26;9775;;;7;;;;;;;;;;;;;;;;
MCO;2015;910300219;910003888;97;33705;5545;438;34661;169;54267;6075;81;33978;0;0;534;16;2233;266;87972;12154;535;70872;;5;;;10972;34;10060;2;97;;;36;10162;;;10972;;;;;;;;;;;;;;;;
MCO;2015;910300300;910000538;77;28105;2348;203;24444;37;13505;660;4;3509;;;0;0;0;114;41610;3008;207;27953;;0;;;903;7;2244;;0;;;7;2244;;;903;;;;;;;;;;;;;;;;
MCO;2015;910300326;910000553;24;8760;592;8;4479;;;0;0;0;;;0;0;0;24;8760;592;8;4479;16;41;;;3452;;0;;0;;;16;41;;;3452;;;;;;;;;;;;;;;;
MCO;2015;910300359;910000587;4;1460;122;0;406;35;12775;1272;6;4766;25;9125;1170;9;5111;64;23360;2564;15;10283;0;0;0;0;2;24;3726;1;336;;;25;4062;0;0;2;;;;;;;;;;;;;;;;
MCO;2015;910500040;910009539;6;2190;143;1;1707;;;0;0;0;;;0;0;0;6;2190;143;1;1707;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2015;910803543;910017615;115;39885;6633;1267;37066;85;31025;4452;195;17070;35;12775;1388;14;6312;235;83685;12473;1476;60448;0;0;;;19719;24;9668;29;264;;;53;9932;;;19719;;;;;;;;;;;;;;;;
MCO;2015;910805357;910001643;;;0;0;0;100;30858;2097;0;7706;22;8030;906;0;3861;122;38888;3003;0;11567;;0;;;121;19;7890;1;146;;;20;8036;;;121;;;;;;;;;;;;;;;;
